TMF,API,Country,url,Backend System
600,andes-product-ordering-sys,Chile,/notFound,Andes(Chile)
600,cerillion-payment-management-sys,Jamaica,/notFound,Cerillion
600,csg-product-ordering-sys,LCPR,/notFound,CSG(LCPR)
600,ecom-sales-ux,Common,/notFound,Common
600,vtr-common-utility-sys,Chile,/notFound,Andes(Chile)
622,cerillion-product-ordering-sys,Jamaica,/notFound,Cerillion
622,ecom-ux,Common,https://esb-test.lla.com/ecom-ux/v1/console/,Common
622,liberate-product-ordering-sys,"Jamaica,Panama",/notFound,liberate
622,product-ordering-biz,Common,/notFound,Common
622,sfdc-ux,Common,/notFound,Common
629,cerillion-customer-sys,Jamaica,/notFound,Cerillion
629,csg-customer-sys,LCPR,/notFound,CSG(LCPR)
629,customer-management-biz,Common,/notFound,Common
629,ecom-ux,Common,https://esb-test.lla.com/ecom-ux/v1/console/,Common
629,liberate-customer-sys,"Jamaica,Panama",/notFound,liberate
638,ecom-ux,Common,https://esb-test.lla.com/ecom-ux/v1/console/,Common
638,service-inventory-management-biz,"Panama,LCPR",/notFound,Common
666,account-management-biz,"Panama,LCPR",/notFound,Common
666,andes-customer-sys,Chile,http://172.21.7.118:9092/andes-acct-management-sys/v1/console/,Andes(Chile)
666,cerillion-customer-sys,Jamaica,/notFound,Cerillion
666,csg-customer-sys,LCPR,/notFound,CSG(LCPR)
666,ecom-ux,Common,https://esb-test.lla.com/ecom-ux/v1/console/,Common
666,liberate-customer-sys,"Jamaica,Panama",/notFound,liberate
666,product-ordering-biz,Common,/notFound,Common
666,sfdc-ux,Common,/notFound,Common
676,ecom-ux,Common,https://esb-test.lla.com/ecom-ux/v1/console/,Common
676,liberate-payment-management-biz,Panama,/notFound,liberate
676,liberate-payment-management-sys,Jamaica,/notFound,liberate
676,payment-management-biz,"Panama,LCPR",/notFound,Common
676,sfdc-ux,Common,/notFound,Common
678,csg-bill-management-sys,LCPR,/notFound,CSG(LCPR)
678,customer-bill-management-sys,"Panama,LCPR",/notFound,Common
678,ecom-ux,Common,https://esb-test.lla.com/ecom-ux/v1/console/,Common
678,liberate-bill-management-sys,Panama,/notFound,liberate
678,sfdc-ux,Common,/notFound,Common
681,communication-sys,Common,/notFound,Common
